1.1845,
1.0541,
0.9940,
0.9391,
0.8827,
0.8229,
0.7643,
0.7087,
0.6585,
0.6142,
0.5758,
0.5422,
0.5120,
0.4874,
0.4648,
0.4480,
0.4260,
0.4107,
0.3957,
0.3813,
0.3699,
0.3592,
0.3480,
0.3404,
0.3325,
0.3221,
0.3165,
0.3099,
0.3032,
0.3054,
0.2923,
0.2863,
0.2802,
0.2725,
0.3507,
0.4502,
0.3235,
0.2783,
0.2499,
0.2316,
0.2280,
0.2170,
0.2061,
0.2138,
0.2209,
0.2235,
0.2196,
0.2198,
0.2228,
0.2291,
0.2301,
0.2353,
0.2355,
0.2351 -> 54
